Anios,Mes,Fecha,Inflacion_anual
2017,1,2017-1,0.9
2017,2,2017-2,0.96
2017,3,2017-3,0.96
2017,4,2017-4,1.09
2017,5,2017-5,1.1
2017,6,2017-6,0.16
2017,7,2017-7,0.1
2017,8,2017-8,0.28
2017,9,2017-9,-0.03
2017,10,2017-10,-0.09
2017,11,2017-11,-0.22
2017,12,2017-12,-0.2
2018,1,2018-1,-0.09
2018,2,2018-2,-0.14
2018,3,2018-3,-0.21
2018,4,2018-4,-0.78
2018,5,2018-5,-1.01
2018,6,2018-6,-0.71
2018,7,2018-7,-0.57
2018,8,2018-8,-0.32
2018,9,2018-9,0.23
2018,10,2018-10,0.33
2018,11,2018-11,0.35
2018,12,2018-12,0.27
2019,1,2019-1,0.54
2019,2,2019-2,0.16
2019,3,2019-3,-0.12
2019,4,2019-4,0.19
2019,5,2019-5,0.37
2019,6,2019-6,0.61
2019,7,2019-7,0.71
2019,8,2019-8,0.33
2019,9,2019-9,-0.07
2019,10,2019-10,0.5
2019,11,2019-11,0.04
2019,12,2019-12,-0.07
2020,1,2020-1,-0.3
2020,2,2020-2,-0.23
2020,3,2020-3,0.18
2020,4,2020-4,1.01
2020,5,2020-5,0.75
2020,6,2020-6,0.17
2020,7,2020-7,-0.54
2020,8,2020-8,-0.76
2020,9,2020-9,-0.9
2020,10,2020-10,-1.6
2020,11,2020-11,-0.91
2020,12,2020-12,-0.93
2021,1,2021-1,-1.04
2021,2,2021-2,-0.81
2021,3,2021-3,-0.83
2021,4,2021-4,-1.47
2021,5,2021-5,-1.13
2021,6,2021-6,-0.69
